0,-0.92721331
0.017232749,-2.363636364
0.024951862,-3.845513963
0.036219421,-4.909090909
0.047149673,-6.577540107
0.055254528,-7.818181818
0.063391672,-8.909090909
0.071675884,-10.39823727
0.085042291,-11.45454545
0.085187597,-12.54545455
0.102701807,-13.84009003
0.112149962,-14.96969697
0.125695725,-16.66666667
0.144144424,-17.62418301
0.168544897,-18.36363636
0.195975907,-17.44355318
0.210909715,-16.42424242
0.221371759,-14.96969697
0.231034222,-14.27688651
0.239777205,-13.15151515
0.25027154,-11.93939394
0.252790179,-10.84848485
0.256549391,-10.04086618
0.265867734,-9.03030303
0.28165767,-7.575757576
0.289520348,-6.606060606
0.295407875,-5.807605466
0.299950101,-4.909090909
0.313124526,-3.818181818
0.322316517,-2.926559715
0.32358657,-2.363636364
0.336793285,-1.515151515
0.35,-0.666666667
